vector_id,family,amounts,N,S,sim,pairing,warmup_rounds,hhi,one_minus_hhi,pairwise_sum,gini,max_share,entropy,observed_time,absorbed,winner
0,equal,14 14 13 13 13 13,6,80,17,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,3750,True,2
0,equal,14 14 13 13 13 13,6,80,18,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,3003,True,1
0,equal,14 14 13 13 13 13,6,80,19,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1652,True,0
0,equal,14 14 13 13 13 13,6,80,20,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,2444,True,0
0,equal,14 14 13 13 13 13,6,80,21,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,990,True,5
0,equal,14 14 13 13 13 13,6,80,22,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1097,True,4
0,equal,14 14 13 13 13 13,6,80,23,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,3056,True,2
0,equal,14 14 13 13 13 13,6,80,24,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1528,True,3
0,equal,14 14 13 13 13 13,6,80,25,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1588,True,5
0,equal,14 14 13 13 13 13,6,80,26,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,3357,True,5
0,equal,14 14 13 13 13 13,6,80,27,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,983,True,0
0,equal,14 14 13 13 13 13,6,80,28,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1520,True,2
0,equal,14 14 13 13 13 13,6,80,29,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,3149,True,0
0,equal,14 14 13 13 13 13,6,80,30,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1392,True,2
0,equal,14 14 13 13 13 13,6,80,31,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,5619,True,2
0,equal,14 14 13 13 13 13,6,80,32,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,2640,True,1
0,equal,14 14 13 13 13 13,6,80,33,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1902,True,1
0,equal,14 14 13 13 13 13,6,80,34,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,3710,True,4
0,equal,14 14 13 13 13 13,6,80,35,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,3612,True,3
0,equal,14 14 13 13 13 13,6,80,36,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,4197,True,2
0,equal,14 14 13 13 13 13,6,80,37,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,4897,True,1
0,equal,14 14 13 13 13 13,6,80,38,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1475,True,4
0,equal,14 14 13 13 13 13,6,80,39,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1211,True,4
0,equal,14 14 13 13 13 13,6,80,40,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,5190,True,5
0,equal,14 14 13 13 13 13,6,80,41,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1666,True,3
0,equal,14 14 13 13 13 13,6,80,42,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,861,True,4
0,equal,14 14 13 13 13 13,6,80,43,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,2773,True,2
0,equal,14 14 13 13 13 13,6,80,44,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1252,True,3
0,equal,14 14 13 13 13 13,6,80,45,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1380,True,2
0,equal,14 14 13 13 13 13,6,80,46,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,1877,True,1
0,equal,14 14 13 13 13 13,6,80,47,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,6116,True,2
0,equal,14 14 13 13 13 13,6,80,48,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,2079,True,5
0,equal,14 14 13 13 13 13,6,80,49,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,860,True,2
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,0,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,1229,True,3
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,1,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,1917,True,2
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,2,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,1389,True,3
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,3,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,3505,True,4
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,4,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,3239,True,1
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,5,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,5870,True,1
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,6,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,2724,True,3
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,7,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,1366,True,4
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,8,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,3109,True,1
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,9,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,2743,True,3
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,10,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,2583,True,5
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,11,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,4881,True,1
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,12,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,1874,True,0
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,13,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,1762,True,1
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,14,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,2059,True,1
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,15,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,8247,True,5
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,16,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,2006,True,0
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,17,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,715,True,3
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,18,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,7860,True,2
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,19,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,2380,True,2
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,20,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,4675,True,3
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,21,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,2679,True,4
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,22,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,1777,True,0
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,23,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,720,True,0
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,24,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,1411,True,0
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,25,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,5866,True,2
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,26,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,4518,True,1
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,27,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,3103,True,4
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,28,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,1347,True,4
