target_hhi,measured_target_hhi,sim,initial_hhi,initial_one_minus_hhi,initial_gini,initial_max_share,final_hhi,final_one_minus_hhi,final_gini,final_max_share,rounds,frozen,active_density,cluster_count,largest_cluster_fraction,interface_length,max_wealth
0.33,0.30413710208000017,3,0.30413710208000017,0.6958628979199999,0.5581044479999999,0.551468,0.30420507814399994,0.695794921856,0.8844749080000001,0.551484,1000,False,0.3484,2396,0.0025832376578645237,11608,137871
0.33,0.30413710208000017,4,0.30413710208000017,0.6958628979199999,0.5581044479999999,0.551468,0.3040652133759999,0.6959347866240001,0.8866551495999999,0.551356,1000,False,0.3419,2361,0.0026323486399532025,11395,137839
0.33,0.30413710208000017,5,0.30413710208000017,0.6958628979199999,0.5581044479999999,0.551468,0.304015819488,0.695984180512,0.8848848279999999,0.551312,1000,False,0.3437,2425,0.002618562700029095,11567,137828
0.33,0.30413710208000017,6,0.30413710208000017,0.6958628979199999,0.5581044479999999,0.551468,0.30421507219199995,0.695784927808,0.8863803576,0.551492,1000,False,0.3461,2383,0.002600404507367813,11528,137873
0.33,0.30413710208000017,7,0.30413710208000017,0.6958628979199999,0.5581044479999999,0.551468,0.30446520358399987,0.6955347964160001,0.8844089808,0.55172,1000,False,0.3502,2392,0.0034266133637921186,11634,137930
0.33,0.30413710208000017,8,0.30413710208000017,0.6958628979199999,0.5581044479999999,0.551468,0.30431214329599987,0.6956878567040001,0.8865817112000001,0.55158,1000,False,0.3436,2331,0.0032013969732246797,11378,137895
0.33,0.30413710208000017,9,0.30413710208000017,0.6958628979199999,0.5581044479999999,0.551468,0.3039977045760001,0.6960022954239999,0.8844749752000001,0.551296,1000,False,0.3485,2394,0.005164992826398852,11586,137824
0.37,0.3409986032320002,0,0.3409986032320002,0.6590013967679997,0.5934549192,0.583936,0.341119560672,0.658880439328,0.8978469184,0.584,1000,False,0.3292,2445,0.003341433778857837,11326,146000
0.37,0.34099860323200026,1,0.34099860323200026,0.6590013967679997,0.5934549192,0.583936,0.3407234636159999,0.6592765363840001,0.8989837984,0.58366,1000,False,0.3305,2449,0.0027231467473524964,11366,145915
0.37,0.34099860323200026,2,0.34099860323200026,0.6590013967679997,0.5934549192,0.583936,0.3410311918079999,0.6589688081920001,0.8983775272000001,0.583924,1000,False,0.3296,2455,0.0024271844660194173,11357,145981
0.37,0.3409986032320002,3,0.3409986032320002,0.6590013967679997,0.5934549192,0.583936,0.34090945222400004,0.659090547776,0.897905556,0.58382,1000,False,0.3335,2452,0.0023988005997001498,11421,145955
