p,sim,local_edges,nonlocal_edges,mean_degree,rounds,absorbed,frozen,capped,local_matches,nonlocal_matches,realized_nonlocal_match_fraction,final_active_density,final_cluster_count,final_largest_cluster_fraction,final_interface_length,winner_site
0.18,9,19800,1825,4.325,36918,False,True,False,1975319,151550,0.07125497621151092,0.2476,2476,0.0004038772213247173,9783,-1
0.19999999999999998,0,19800,2004,4.3608,16963,False,True,False,2013035,183563,0.08356695216876278,0.2403,2403,0.0004161464835622139,9497,-1
0.19999999999999998,1,19800,2089,4.3778,15076,False,True,False,2032469,200071,0.08961586354555798,0.243,2430,0.00041152263374485596,9602,-1
0.19999999999999998,2,19800,1972,4.3544,13284,False,True,False,1901940,172746,0.08326368423944636,0.2466,2466,0.00040551500405515005,9740,-1
0.19999999999999998,3,19800,1972,4.3544,25408,False,True,False,1922305,219774,0.10259845691965609,0.2494,2494,0.00040096230954290296,9859,-1
0.19999999999999998,4,19800,1994,4.3588,18313,False,True,False,1880435,180567,0.0876112686935772,0.2482,2482,0.00040290088638195,9818,-1
0.19999999999999998,5,19800,2039,4.3678,42574,False,True,False,2049496,211036,0.09335678503998174,0.244,2440,0.0004098360655737705,9633,-1
0.19999999999999998,6,19800,1972,4.3544,19065,False,True,False,2066621,175951,0.07845946529253019,0.2428,2428,0.00041186161449752884,9605,-1
0.19999999999999998,7,19800,2010,4.362,18221,False,True,False,1919194,208507,0.09799638201044225,0.2492,2492,0.0004012841091492777,9855,-1
0.19999999999999998,8,19800,2054,4.3708,20893,False,True,False,1971121,210111,0.09632675478811974,0.2495,2495,0.0004008016032064128,9854,-1
0.19999999999999998,9,19800,1967,4.3534,18100,False,True,False,2012165,168449,0.07724842636064888,0.2468,2468,0.0004051863857374392,9761,-1
0.21999999999999997,0,19800,2187,4.3974,22777,False,True,False,2057135,203285,0.08993240194300174,0.2431,2431,0.00041135335252982314,9611,-1
0.21999999999999997,1,19800,2190,4.398,14466,False,True,False,1946332,228031,0.10487255347888094,0.2431,2431,0.00041135335252982314,9608,-1
0.21999999999999997,2,19800,2179,4.3958,23287,False,True,False,2052067,195000,0.0867797889426528,0.2414,2414,0.00041425020712510354,9544,-1
0.21999999999999997,3,19800,2172,4.3944,23872,False,True,False,1979067,244939,0.11013414532155039,0.2439,2439,0.0004100041000410004,9643,-1
0.21999999999999997,4,19800,2185,4.397,24033,False,True,False,2031893,220624,0.09794554269734701,0.244,2440,0.0004098360655737705,9645,-1
0.21999999999999997,5,19800,2204,4.4008,34786,False,True,False,2035869,242263,0.10634282824700236,0.2388,2388,0.0004187604690117253,9434,-1
0.21999999999999997,6,19800,2194,4.3988,25009,False,True,False,2093931,264263,0.11206160307421696,0.2395,2395,0.0004175365344467641,9474,-1
0.21999999999999997,7,19800,2215,4.403,15056,False,True,False,1924933,221263,0.10309543024029492,0.2445,2445,0.00040899795501022495,9660,-1
0.21999999999999997,8,19800,2221,4.4042,27519,False,True,False,1897572,244751,0.11424561095595762,0.2435,2435,0.0004106776180698152,9617,-1
0.21999999999999997,9,19800,2165,4.393,22756,False,True,False,1970997,229041,0.10410774722982058,0.2473,2473,0.0004043671653861706,9776,-1
0.23999999999999996,0,19800,2369,4.4338,16870,False,True,False,1906191,232343,0.108645922861175,0.2442,2442,0.0004095004095004095,9648,-1
0.23999999999999996,1,19800,2428,4.4456,15481,False,True,False,1981887,257657,0.11504886709080063,0.2403,2403,0.0004161464835622139,9500,-1
0.23999999999999996,2,19800,2471,4.4542,16207,False,True,False,1961940,240020,0.10900288833584625,0.2428,2428,0.00041186161449752884,9587,-1
0.23999999999999996,3,19800,2376,4.4352,17991,False,True,False,1991517,219035,0.09908611061852424,0.2383,2383,0.000419639110365086,9415,-1
